name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1322,175200973,,,,,,,-114.551316,35.1774757,,,
,1323,175200979,,,,,,,-114.5485332,35.1779117,,,
,1324,175200992,,,,,,,-114.5461196,35.1791452,,,
,1325,175200998,,,,,,,-114.5455579,35.1793903,,,
,1326,175201005,,,,,,,-114.5445344,35.1797834,,,
,1327,175201009,,,,,,,-114.5433562,35.1799928,,,
,1328,175201018,,,,,,,-114.5386116,35.1803896,,,
,1329,3224154936,,,,,,,-114.5376049,35.1810505,,,
,1330,175201023,,,,,,,-114.5371618,35.1819894,,,
,1331,175201285,,,,,,,-114.5963422,35.0451426,,,
,1332,2687513343,,,,,,,-114.5963409,35.0455914,,,
,1333,175201297,,,,,,,-114.5963428,35.0478776,,,
,1334,175201687,,,,,,,-114.6057309,35.1152094,,,
,1335,175201689,,,,,,,-114.605667,35.119982,,,
,1336,175201730,,,,,,,-114.5465162,35.1733519,,,
,1337,175201741,,,,,,,-114.5447599,35.1733662,,,
,1338,175202049,,,,,,,-114.5193507,35.1825598,,,
,1339,175202075,,,,,,,-114.5125703,35.1806163,,,
,1340,175202078,,,,,,,-114.5110063,35.1809224,,,
,1341,175202088,,,,,,,-114.5083533,35.1812767,,,
,1342,175202106,turning_circle,,,,,,-114.5013925,35.1823695,,,
,1343,175202134,,,,,,,-114.5299481,35.1490832,,,
,1344,175202136,,,,,,,-114.5278564,35.1486419,,,
,1345,175202192,turning_circle,,,,,,-114.5901701,35.1148371,,,
,1346,175080668,,,,,,,-114.5919925,35.1160171,,,
,1347,175202344,,,,,,,-114.6194712,35.093447,,,
,1348,175202352,,,,,,,-114.6194473,35.0948996,,,
,1349,175202744,,,,,,,-114.5980573,35.1109004,,,
,1350,175202865,,,,,,,-114.5866413,35.0724268,,,
,1351,175202866,,,,,,,-114.5889883,35.0724264,,,
,1352,175202870,,,,,,,-114.5889992,35.0727543,,,
,1353,175202873,,,,,,,-114.5866516,35.0727625,,,
,1354,175202876,,,,,,,-114.5864607,35.072766,,,
,1355,2097709197,turning_circle,,,,,,-114.5358806,35.1738347,,,
,1356,889540813,,,,,,,-114.5402731,35.1747292,,,
,1357,175203019,,,,,,,-114.5445977,35.1742455,,,
,1358,175203046,,,,,,,-114.5483143,35.1744005,,,
,1359,175203054,,,,,,,-114.5528575,35.1750645,,,
,1360,175203137,turning_circle,,,,,,-114.5810556,35.1179729,,,
,1361,175203181,,,,,,,-114.6272212,35.0967436,,,
,1362,175203188,turning_circle,,,,,,-114.6272097,35.0969625,,,
,1363,175203609,turning_circle,,,,,,-114.6057306,35.0855394,,,
,1364,175203617,,,,,,,-114.5280196,35.1479104,,,
,1365,175203686,,,,,,,-114.6137041,35.0934151,,,
,1366,175203697,,,,,,,-114.6202796,35.0952433,,,
,1367,175194279,,,,,,,-114.623901,35.097115,,,
,1368,175203700,,,,,,,-114.6244082,35.0973774,,,
,1369,175083998,,,,,,,-114.6250083,35.097673,,,
,1370,6992618671,,,,,,,-114.6251022,35.0977207,,,
,1371,175203703,,,,,,,-114.6257029,35.098026,,,
,1372,175203705,,,,,,,-114.6273878,35.0989057,,,
,1373,175203708,,,,,,,-114.6280246,35.0990878,,,
,1374,175203711,,,,,,,-114.6305877,35.0990884,,,
,1375,175203713,,,,,,,-114.6349923,35.0990816,,,
,1376,175203901,,,,,,,-114.5220347,35.1855877,,,
,1377,175204023,turning_circle,,,,,,-114.6071259,35.1125742,,,
,1378,175204032,turning_circle,,,,,,-114.6073128,35.1118732,,,
,1379,175204092,,,,,,,-114.5347106,35.1824225,,,
,1380,175204107,,,,,,,-114.5340269,35.1881405,,,
,1381,175204158,,,,,,,-114.6312678,35.1013084,,,
,1382,175204277,,,,,,,-114.5806454,35.1250169,,,
,1383,175204293,,,,,,,-114.5800086,35.1243548,,,
,1384,175204318,,,,,,,-114.6220128,35.1144927,,,
,1385,175156585,,,,,,,-114.6129851,35.1144858,,,
,1386,175204320,,,,,,,-114.6098114,35.114473,,,
,1387,175204344,,,,,,,-114.5718831,35.106443,,,
,1388,175204350,,,,,,,-114.5716589,35.1064439,,,
,1389,175204352,,,,,,,-114.5719887,35.1065226,,,
,1390,175204364,,,,,,,-114.5725476,35.1082352,,,
,1391,175204414,,,,,,,-114.6265082,35.1013068,,,
